Sample	Gly	AGly	Flq	Bla	Ntmdz	MLS	Tet	Phe	Sul	Tmt
ERR2722790	18.09187	.80514	.65187	4.11111	.06707	10.73140	6.08412	2.74778	.03745	1.95783
ERR2722793	11.82078	.01754	1.10640	4.76160	0	10.69387	7.13333	2.13865	.05243	1.74251
ERR2722794	15.52631	.29856	.32064	1.47519	.06097	9.38047	5.16323	1.85333	.02621	1.61077
ERR2722797	12.30035	.03296	1.06673	4.71698	.01829	10.31673	5.63050	2.18723	.01123	2.08982
ERR2722798	16.20921	.99635	.77393	4.89602	.07926	10.84453	7.96830	2.55844	.07434	1.97590
ERR2722801	13.82846	.93750	.71273	4.74294	.01829	10.35805	8.75474	3.46875	.23616	1.31137
ERR2722802	15.31578	1.15884	.75098	5.66666	.03048	11.22083	6.10675	2.30303	.02996	1.80838
ERR2722805	14.08727	1.86785	.94788	7.35331	.01219	12.86780	5.51338	4.85650	.02611	1.40718
ERR2722806	13.63986	.66666	.88188	9.94197	.03658	11.70063	8.34126	2.68918	.01492	1.32934
ERR2722809	11.77256	.42700	.33070	4.69830	.03048	6.45492	4.70429	1.07142	.01872	.65269
ERR2722810	20.77738	1.17110	.65411	6.11711	.06097	11.08829	6.21169	3.53777	.06716	2.13855
ERR2722813	17.87500	.37890	.83032	5.42249	.06707	9.80612	6.22943	2.16532	.03731	1.87951
ERR2722814	12.63448	.11336	.90720	5.49226	.05487	10.61788	5.92586	2.86382	.03717	2.71686
ERR2722817	12.40510	.11911	.21280	2.08123	.01219	6.12922	3.81072	.67226	.02621	1.39156
ERR2722818	20.15547	.50684	.65963	5.97982	.04268	10.63842	6.21565	2.42500	.03759	1.62048
ERR2722821	12.95833	.46441	1.03792	10.51746	0	11.40612	5.13170	2.18595	.04511	2.77108
ERR2722822	15.82352	.32432	.86883	4.45820	.02439	9.73400	4.84627	2.11489	.27037	1.96385
ERR2722825	10.79513	.03065	.94685	3.99062	.01829	9.23856	4.66508	2.14592	.18148	1.58083
ERR2722826	10.58596	.02583	1.22933	8.30379	.00609	10.68583	5.56062	3.09871	.02238	1.66467
ERR2722829	10.64808	.02536	1.32711	10.32802	.01219	11.47950	6.27001	3.28508	.00749	1.89820
ERR2722830	15.32246	.27777	.84584	5.05607	.02439	10.45995	4.75396	3.14410	.02973	1.74698
ERR2722833	15.08896	.25688	1.10019	5.14156	.02439	11.83196	5.56410	3.81415	.01872	1.59281
ERR2722834	15.74324	.32340	.95177	5.60371	.06097	10.92121	5.69572	2.89787	.05576	2.87349
ERR2722837	12.70103	.14084	.92984	6.46964	.01829	11.31225	5.96546	1.48518	.01115	1.91616
ERR2722838	15.56551	.26007	.49011	3.70200	.04268	10.19919	7.67192	1.76068	.05243	2.19879
ERR2722841	15.00709	.20647	.94591	9.76898	.05487	12.94769	9.24440	2.55458	.01865	2.05421
ERR2722842	15.31428	.27272	.67290	3.38138	.07926	10.26359	5.85804	1.87500	.01872	1.29341
ERR2722845	8.65397	.01307	.91071	3.24324	0	10.47257	7.53510	1.16216	.01115	1.42261
ERR2722846	12.29122	2.13284	.99015	7.77881	.03658	12.22621	10.11501	2.72246	.04494	2.25301
ERR2722849	12.12099	.26470	.98431	5.01577	.00609	10.75264	6.87878	3.15021	.01872	1.50299
ERR2722850	17.61433	.74907	.67519	3.22222	.04878	11.63847	7.62500	1.93220	.05947	2.46385
ERR2722853	5.79858	.05468	.45677	2.33650	.01829	5.03688	1.16666	1.27927	.00373	.66867
ERR2722854	13.86666	.32452	.81674	5.04731	.04268	14.73568	4.19145	2.74235	.02611	1.81927
ERR2722857	12.28776	.26394	.88090	6.06250	.01829	14.44588	4.08227	2.60775	.01492	1.87349
ERR2722858	17.93127	.20149	.73425	5.82407	.03048	10.37627	6.97310	2.27350	.12962	1.86144
ERR2722861	15.08070	.32720	.78500	7.77672	.04878	10.43659	7.44761	2.65065	.09259	1.90361
ERR2722862	18.82986	.11832	.97440	4.96341	.02439	13.25510	7.78897	3.19491	.03358	2.26946
ERR2722865	7.97586	.04379	.93915	3.05466	.01219	9.47843	5.70957	2.18297	.01115	1.47305
ERR2722866	13.94736	1.61678	1.22025	5.90712	.04878	15.16594	4.99206	3.53679	.02973	1.41916
ERR2722869	11.29787	.76470	1.59157	12.88025	.01829	19.82850	3.51030	2.76569	.02602	1.12574
