Sample	Gly	AGly	Flq	Bla	Ntmdz	MLS	Tet	Phe	Sul	Tmt
ERR2722706	17.79858	.49242	.45228	5.70059	.06707	11.58037	8.05055	1.65811	.05576	1.53892
ERR2722709	11.09187	.29577	.30417	6.48338	.02439	11.88541	11.16297	.85020	.03345	1.22754
ERR2722710	23.24381	1.09665	.46245	4.17888	.07926	12.69874	8.45339	2.15151	.05617	1.92168
ERR2722713	12.04181	.23791	.81980	6.73817	.03658	10.72349	6.19055	2.42916	.02985	2.01807
ERR2722714	15.43525	.71535	.63190	3.76353	.04268	10.37242	5.22929	3.17948	.03007	1.50000
ERR2722717	12.20209	.65151	.58823	3.88484	.03048	9.79657	4.35974	2.42857	.01486	1.98192
ERR2722718	12.20069	.33620	.36592	12.24528	.02439	10.64887	11.09291	1.37339	.01492	1.25595
ERR2722721	19.17132	.72030	.57581	7.45061	.04268	12.18852	8.59873	1.79059	.02985	1.68263
ERR2722722	11.84175	.09600	.40261	3.84164	.02439	10.08858	7.09921	1.53389	.02621	2.25149
ERR2722725	10.76923	.85185	.38054	3.28939	.03658	9.10276	5.99521	1.39682	.11895	2.76969
ERR2722726	14.28472	.30337	.27502	4.89149	.02439	9.97609	7.20537	1.13913	.03731	1.42514
ERR2722729	16.39175	.62592	.55029	3.65875	.07926	9.68559	6.00633	1.73839	.19629	1.81927
ERR2722730	15.06643	.38867	.39100	5.04179	.03658	9.50501	5.65348	1.52173	.02247	1.70059
ERR2722733	26.00348	.56766	.27425	2.26259	.10365	10.52834	7.25039	1.76339	.03731	1.92168
ERR2722734	15.07773	.44696	.60749	3.97313	.04268	10.02828	6.04739	2.22026	.02247	1.56024
ERR2722737	14.74912	.15530	.80882	5.12307	.06707	10.19959	5.85578	2.24463	.02985	2.12048
ERR2722738	11.18543	.72693	.77128	4.43661	.06097	10.72635	6.66141	1.81124	.07116	3.21084
ERR2722741	9.35099	.27573	.82690	5.32424	.04268	10.45891	6.36792	1.86800	.03358	4.41566
ERR2722742	15.89619	.93818	.78051	3.48511	.05487	11.29423	5.89381	2.14049	.04850	2.34939
ERR2722745	10.35540	2.15714	.81102	3.57846	.10365	11.25319	5.61949	2.40000	.01115	1.91017
ERR2722746	20.75000	.94849	.50098	3.98525	.10365	10.47250	5.91587	2.72052	.03731	1.96987
ERR2722749	17.65017	.20532	.56465	3.29305	.05487	10.07042	6.03481	1.90476	.03358	2.16867
ERR2722750	15.75177	1.55056	.45059	3.67806	.03048	10.97473	9.02063	1.44052	.04119	1.75903
ERR2722753	10.40206	3.07089	.38114	4.46491	.01829	11.82644	9.65923	1.00408	.01119	1.89221
ERR2722754	16.88530	1.10646	.83169	6.54347	.03658	10.05785	6.33280	2.28879	.26296	1.79041
ERR2722757	12.13120	2.52808	.96751	8.18553	.03658	10.33333	7.11111	2.42978	.71217	1.72289
ERR2722758	21.96428	.69144	.53838	3.03812	.06707	9.90669	8.45727	2.77578	.04104	1.81325
ERR2722761	18.87368	1.14074	.74482	4.35435	.05487	10.35555	7.85103	2.14403	.06691	2.24242
ERR2722762	17.78671	.10112	.35129	3.46218	.08536	10.42400	6.07472	1.36637	.05617	1.99397
ERR2722765	16.26027	.44736	.46965	4.74293	.06097	9.05476	5.84920	1.57500	.25185	2.65853
ERR2722766	11.28421	.48387	.86291	4.68249	.04878	9.37938	6.77777	2.43965	.04460	1.93975
ERR2722769	13.11498	.16176	.87290	6.39143	.03048	9.72745	6.96502	2.17446	.03358	1.71084
ERR2722770	6.96979	1.48339	1.03125	1.76666	.06707	10.07500	4.41894	2.30894	.01858	1.62275
ERR2722773	10.45704	1.38235	.85854	2.99380	.05487	9.25154	4.70476	2.14345	.02230	1.41317
ERR2722774	19.54416	.17870	.38147	2.52876	.04268	10.94274	8.63216	1.57391	.04868	1.74251
ERR2722777	18.94035	.24354	.49410	2.36974	.04268	10.09426	7.13449	2.17621	.07490	1.71084
ERR2722778	16.83508	1.62172	.89862	5.01840	.07317	11.69502	7.25238	2.40869	.03370	1.88554
ERR2722781	9.88275	3.78888	1.32448	5.79299	.03658	12.19916	8.49920	2.69603	.01858	1.74850
ERR2722782	12.70790	3.32155	1.42074	7.02208	.04878	13.87394	5.23454	3.74107	.01858	2.10240
ERR2722785	9.88095	2.43462	1.06378	4.81562	.04878	11.97027	4.83860	3.59210	.02602	2.14970
ERR2722786	14.61538	.48809	1.02270	5.14373	.05487	10.70400	6.10268	2.25311	.01851	2.69277
ERR2722789	9.41750	.18750	.81477	5.21202	.03658	8.38085	6.09090	2.38493	.03717	2.93373
